title,released_year,run_time,stars,total_ratings,summary,Action,Adventure,Sci-Fi,Comedy,Drama,Romance,Thriller,Fantasy,Horror,Mystery,Crime,Adults,Kids,Other,Teens
Madame Web,2024.0,2.0,3.8,28000.0,"Cassandra Webb is a New York metropolis paramedic who begins to demonstrate signs of clairvoyance. Forced to challenge revelations about her past, she needs to safeguard three young women from a deadly adversary who wants them destroyed.",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
Oppenheimer,2023.0,0.0,8.4,654000.0,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True
Dune: Part Two,2024.0,0.0,9.1,28000.0,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
Poor Things,2023.0,1.0,8.3,115000.0,"The incredible tale about the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
Anyone But You,2023.0,2.0,6.3,41000.0,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a lesbian wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True
The Zone of Interest,2023.0,2.0,7.6,36000.0,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
Dune,2021.0,0.0,8.0,773000.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
Bob Marley: One Love,2024.0,2.0,6.5,11000.0,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
Land of Bad,2024.0,2.0,6.5,7600.0,A US Army special forces unit is ambushed during a mission to retrieve an intelligence asset and their only remaining hope lies with a remote Air Force drone operator assisting them through a brutal 48-hour battle for survival.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False,False,True
Saltburn,2023.0,1.0,7.0,181000.0,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten.",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False,True,False
The Iron Claw,2023.0,1.0,7.8,38000.0,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True
Argylle,2024.0,1.0,6.0,28000.0,"A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes the plot of the new book she's writing starts to mirror real-world events, in real time.",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,True,False,False
One Day,2011.0,2.0,7.0,165000.0,"After spending the night together on the eve of their college graduation, Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, and sometimes not.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
The Holdovers,2023.0,1.0,8.0,106000.0,A cranky history teacher at a remote prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True
The Beekeeper,2024.0,2.0,6.4,59000.0,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers"".",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False,False,True
All of Us Strangers,2023.0,2.0,7.8,26000.0,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,True
Thanksgiving,2023.0,2.0,6.3,40000.0,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the infamous holiday.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,False,False,True,False
Miller's Girl,2024.0,2.0,5.2,5100.0,A creative writing assignment yields complex results between a teacher and his talented student.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
Anatomy of a Fall,2023.0,0.0,7.8,75000.0,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,False,False,False,True
Upgraded,2024.0,2.0,6.1,12000.0,"When Ana is upgraded to first class on a work trip, she meets handsome Will, who mistakes Ana for her boss, Claire. A white lie then sets off a glamorous chain of events, romance and opportunity, until her fib threatens to surface.",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
Drive-Away Dolls,2024.0,3.0,6.1,3200.0,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals.",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False,False,True
Mean Girls,2024.0,2.0,5.9,18000.0,"Cady Heron is a hit with the Plastics, an A-list girl clique at her new school. But everything changes when she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
This Is Me,2024.0,3.0,4.6,3400.0,"Coinciding with the release of her album of the same name, this narrative-driven odyssey tells the story of Jennifer Lopez's journey to love through her own eyes.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True
Killers of the Flower Moon,2023.0,0.0,7.7,211000.0,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,True
Players,2024.0,2.0,5.6,6100.0,"A sports writer unused to relationships falls for a fling, leading her to reconsider playing the field in favor of commitment.",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
American Fiction,2023.0,2.0,7.6,33000.0,A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True
Wonka,2023.0,2.0,7.1,101000.0,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
The Marvels,2023.0,2.0,5.6,112000.0,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,True,False,False
Mission: Impossible - Dead Reckoning Part One,2023.0,0.0,7.7,234000.0,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,True,False,False
Past Lives,2023.0,2.0,7.9,93000.0,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
