title,link
Madame Web,/title/tt11057302/?ref_=sr_i_1
Borderlands,/title/tt4978420/?ref_=sr_i_2
Oppenheimer,/title/tt15398776/?ref_=sr_i_3
Dune: Part Two,/title/tt15239678/?ref_=sr_i_4
Poor Things,/title/tt14230458/?ref_=sr_i_5
Anyone But You,/title/tt26047818/?ref_=sr_i_6
The Zone of Interest,/title/tt7160372/?ref_=sr_i_7
Dune,/title/tt1160419/?ref_=sr_i_8
Bob Marley: One Love,/title/tt8521778/?ref_=sr_i_9
Land of Bad,/title/tt19864802/?ref_=sr_i_10
Deadpool & Wolverine,/title/tt6263850/?ref_=sr_i_11
Saltburn,/title/tt17351924/?ref_=sr_i_12
The Iron Claw,/title/tt21064584/?ref_=sr_i_13
Argylle,/title/tt15009428/?ref_=sr_i_14
One Day,/title/tt1563738/?ref_=sr_i_15
The Holdovers,/title/tt14849194/?ref_=sr_i_16
The Beekeeper,/title/tt15314262/?ref_=sr_i_17
All of Us Strangers,/title/tt21192142/?ref_=sr_i_18
Thanksgiving,/title/tt1448754/?ref_=sr_i_19
Miller's Girl,/title/tt8310486/?ref_=sr_i_20
Anatomy of a Fall,/title/tt17009710/?ref_=sr_i_21
Upgraded,/title/tt21830902/?ref_=sr_i_22
Drive-Away Dolls,/title/tt19356262/?ref_=sr_i_23
Mean Girls,/title/tt11762114/?ref_=sr_i_24
This Is Me,/title/tt30215084/?ref_=sr_i_25
Killers of the Flower Moon,/title/tt5537002/?ref_=sr_i_26
Players,/title/tt14833464/?ref_=sr_i_27
American Fiction,/title/tt23561236/?ref_=sr_i_28
Wonka,/title/tt6166392/?ref_=sr_i_29
The Marvels,/title/tt10676048/?ref_=sr_i_30
The Abyss,/title/tt22016156/?ref_=sr_i_31
Mission: Impossible - Dead Reckoning Part One,/title/tt9603212/?ref_=sr_i_32
Past Lives,/title/tt13238346/?ref_=sr_i_33
Barbie,/title/tt1517268/?ref_=sr_i_34
Godzilla x Kong: The New Empire,/title/tt14539740/?ref_=sr_i_35
Irish Wish,/title/tt21957774/?ref_=sr_i_36
Lisa Frankenstein,/title/tt21188080/?ref_=sr_i_37
Society of the Snow,/title/tt16277242/?ref_=sr_i_38
